Rk,G,Date,Age,Tm,Loc,Opp,Margin,GS,MP,FG,FGA,FGperc,ThreeP,ThreePA,ThreePperc,FT,FTA,FTperc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,1996-11-01,33-258,CHI,@,BOS,W (+9),1,43:00,10,22,.455,0,5,.000,10,13,.769,1,3,4,3,0,0,1,2,30,19.3
2,2,1996-11-02,33-259,CHI,,PHI,W (+29),1,30:00,11,20,.550,3,7,.429,2,2,1.000,1,1,2,5,4,0,2,2,27,23.1
3,3,1996-11-05,33-262,CHI,,VAN,W (+23),1,31:00,9,18,.500,3,5,.600,1,1,1.000,2,5,7,3,4,0,4,2,22,17.2
4,4,1996-11-06,33-263,CHI,@,MIA,W (+6),1,40:00,18,33,.545,1,2,.500,13,14,.929,1,5,6,0,1,1,0,1,50,37.2
5,5,1996-11-08,33-265,CHI,@,DET,W (+18),1,36:00,6,14,.429,1,3,.333,2,2,1.000,1,3,4,8,1,0,0,3,15,14.6
6,6,1996-11-09,33-266,CHI,,BOS,W (+12),1,32:00,10,23,.435,0,2,.000,7,11,.636,2,1,3,3,1,0,0,2,27,17.3
7,7,1996-11-11,33-268,CHI,,PHO,W (+18),1,35:00,12,21,.571,1,1,1.000,1,2,.500,1,1,2,5,1,1,3,1,26,18.5
8,8,1996-11-13,33-270,CHI,,MIA,W (+32),1,34:00,8,23,.348,0,1,.000,12,16,.750,1,4,5,3,1,0,0,3,28,17.3
9,9,1996-11-15,33-272,CHI,@,CHH,W (+23),1,29:00,15,25,.600,4,5,.800,4,4,1.000,0,1,1,2,1,1,1,2,38,28.1
10,10,1996-11-16,33-273,CHI,,ATL,W (+28),1,35:00,11,23,.478,0,1,.000,3,4,.750,0,5,5,3,1,0,2,2,25,14.7
11,11,1996-11-20,33-277,CHI,@,PHO,W (+14),1,35:00,16,29,.552,0,0,,5,6,.833,1,3,4,4,1,1,2,3,37,25.6
12,12,1996-11-21,33-278,CHI,@,DEN,W (+18),1,34:00,12,23,.522,0,2,.000,7,7,1.000,4,3,7,3,2,1,2,2,31,25.4
13,13,1996-11-23,33-280,CHI,@,UTA,L (-5),1,39:00,17,32,.531,0,6,.000,10,12,.833,1,5,6,4,2,1,2,3,44,32.1
14,14,1996-11-25,33-282,CHI,@,LAC,W (+4),1,43:00,14,26,.538,1,3,.333,11,12,.917,1,6,7,2,2,4,2,3,40,32.5
15,15,1996-11-29,33-286,CHI,@,DAL,W (+19),1,40:00,13,23,.565,4,5,.800,6,6,1.000,0,7,7,4,2,0,2,1,36,29.6
16,16,1996-11-30,33-287,CHI,@,SAS,W (+9),1,38:00,14,35,.400,2,5,.400,5,5,1.000,0,9,9,3,0,0,1,0,35,19.9
17,17,1996-12-03,33-290,CHI,@,MIL,W (+3),1,41:00,13,27,.481,0,0,,14,17,.824,2,4,6,6,0,0,3,1,40,28.5
18,18,1996-12-05,33-292,CHI,,LAC,W (+18),1,31:00,9,21,.429,0,3,.000,2,3,.667,1,3,4,6,2,0,1,3,20,14.1
19,19,1996-12-07,33-294,CHI,,MIA,L (-3),1,42:00,16,30,.533,0,3,.000,5,6,.833,1,8,9,3,0,0,0,1,37,26.8
20,20,1996-12-08,33-295,CHI,@,TOR,L (-8),1,41:00,5,17,.294,1,4,.250,2,2,1.000,0,9,9,8,2,2,3,1,13,11.4
21,21,1996-12-11,33-298,CHI,,MIN,W (+17),1,36:00,10,16,.625,1,1,1.000,6,6,1.000,0,7,7,3,3,0,1,0,27,26.0
22,22,1996-12-13,33-300,CHI,@,NJN,W (+21),1,34:00,9,19,.474,3,5,.600,11,12,.917,0,6,6,6,4,0,1,2,32,30.1
23,23,1996-12-14,33-301,CHI,,CHH,W (+5),1,41:00,10,26,.385,0,3,.000,9,12,.750,2,7,9,5,5,0,1,0,29,24.6
24,24,1996-12-17,33-304,CHI,,LAL,W (+6),1,47:00,10,32,.313,0,2,.000,10,14,.714,5,4,9,3,1,1,2,2,30,15.7
25,25,1996-12-19,33-306,CHI,@,CHH,W (+21),1,36:00,13,27,.481,3,8,.375,6,7,.857,5,3,8,1,1,1,2,0,35,25.7
