Rk,G,Date,Age,Tm,Loc,Opp,Margin,GS,MP,TSperc,eFGperc,ORBperc,DRBperc,TRBperc,ASTperc,STLperc,BLKperc,TOVperc,USGperc,ORtg,DRtg,GmSc
1,1,1996-11-01,33-258,CHI,@,BOS,W (+9),1,43:00,.541,.455,3.7,7.8,6.1,10.9,0.0,0.0,3.5,29.9,118,109,19.3
2,2,1996-11-02,33-259,CHI,,PHI,W (+29),1,30:00,.647,.625,3.6,3.2,3.4,30.3,6.3,0.0,8.7,31.1,128,83,23.1
3,3,1996-11-05,33-262,CHI,,VAN,W (+23),1,31:00,.597,.583,7.2,15.5,11.7,20.1,7.0,0.0,17.8,30.5,112,73,17.2
4,4,1996-11-06,33-263,CHI,@,MIA,W (+6),1,40:00,.638,.561,2.4,14.0,7.7,0.0,1.3,2.1,0.0,41.6,144,111,37.2
5,5,1996-11-08,33-265,CHI,@,DET,W (+18),1,36:00,.504,.464,3.8,9.1,6.8,38.1,1.6,0.0,0.0,21.5,136,101,14.6
6,6,1996-11-09,33-266,CHI,,BOS,W (+12),1,32:00,.485,.435,6.7,3.6,5.2,16.1,1.5,0.0,0.0,36.0,112,98,17.3
7,7,1996-11-11,33-268,CHI,,PHO,W (+18),1,35:00,.594,.595,2.7,3.1,2.9,30.4,1.5,2.2,12.1,31.5,109,91,18.5
8,8,1996-11-13,33-270,CHI,,MIA,W (+32),1,34:00,.466,.348,3.4,12.5,8.1,17.1,1.6,0.0,0.0,41.2,107,80,17.3
9,9,1996-11-15,33-272,CHI,@,CHH,W (+23),1,29:00,.710,.680,0.0,3.8,2.1,15.6,1.8,2.5,3.6,42.1,146,99,28.1
10,10,1996-11-16,33-273,CHI,,ATL,W (+28),1,35:00,.505,.478,0.0,13.7,8.2,15.9,1.6,0.0,7.5,38.5,99,82,14.7
11,11,1996-11-20,33-277,CHI,@,PHO,W (+14),1,35:00,.585,.552,2.9,8.6,5.8,23.8,1.4,1.8,5.9,38.9,122,102,25.6
12,12,1996-11-21,33-278,CHI,@,DEN,W (+18),1,34:00,.594,.522,12.0,9.0,10.5,18.4,2.9,2.1,7.1,34.3,126,95,25.4
13,13,1996-11-23,33-280,CHI,@,UTA,L (-5),1,39:00,.590,.531,2.9,16.6,9.3,30.6,2.8,2.0,5.1,47.3,123,114,32.1
14,14,1996-11-25,33-282,CHI,@,LAC,W (+4),1,43:00,.639,.558,2.5,15.9,9.1,16.7,2.6,7.1,6.0,35.6,132,91,32.5
15,15,1996-11-29,33-286,CHI,@,DAL,W (+19),1,40:00,.702,.652,0.0,15.8,8.7,16.3,2.5,0.0,7.2,28.6,146,99,29.6
16,16,1996-11-30,33-287,CHI,@,SAS,W (+9),1,38:00,.470,.429,0.0,25.8,13.2,18.7,0.0,0.0,2.6,46.5,99,98,19.9
17,17,1996-12-03,33-290,CHI,@,MIL,W (+3),1,41:00,.580,.481,6.5,13.8,10.0,27.2,0.0,0.0,8.0,41.1,122,117,28.5
18,18,1996-12-05,33-292,CHI,,LAC,W (+18),1,31:00,.448,.429,4.0,10.6,7.5,24.4,3.4,0.0,4.3,33.0,109,105,14.1
19,19,1996-12-07,33-294,CHI,,MIA,L (-3),1,42:00,.567,.533,2.7,19.9,11.6,23.3,0.0,0.0,0.0,39.8,129,107,26.8
20,20,1996-12-08,33-295,CHI,@,TOR,L (-8),1,41:00,.364,.324,0.0,23.4,11.7,30.1,2.6,3.5,14.4,23.5,82,100,11.4
21,21,1996-12-11,33-298,CHI,,MIN,W (+17),1,36:00,.724,.656,0.0,21.2,11.5,15.0,4.5,0.0,5.1,25.4,146,90,26.0
